,Company Name,Job Name,Location,Rating,Pay
776,Duolingo,"Software Engineering, Thrive Intern","Pittsburgh, PA",4.7,$53K - $114K (Glassdoor est.)
777,Databricks,Software Engineering Intern,"San Francisco, CA",4.8,$79K - $182K (Glassdoor est.)
778,Salesforce,Summer 2022 Intern - Software Engineer,"Bellevue, WA",4.4,$38 Per Hour(Employer est.)
779,"Chick-fil-A, Inc.",2022 Software Engineering Summer Intern,"Atlanta, GA",3.9,$54K - $110K (Glassdoor est.)
780,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,$51K - $94K (Glassdoor est.)
781,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4.0,$34 - $36 Per Hour(Employer est.)
782,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4.0,$66K - $146K (Glassdoor est.)
783,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,$81K - $186K (Glassdoor est.)
784,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A
785,Garmin,"Software Engineer Intern (Java, JavaScript, Python - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,$23 - $28 Per Hour(Employer est.)
786,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,$73K - $165K (Glassdoor est.)
787,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"Austin, TX",4.4,$38 Per Hour(Employer est.)
788,Autodesk,"Intern, Software Engineer",California,4.3,N/A
789,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,$54K - $115K (Glassdoor est.)
790,Twilio,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",4.4,$41 Per Hour(Employer est.)
791,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,$80K - $174K (Glassdoor est.)
792,Garmin,"Software Engineer Intern (Garmin Pay, NFC - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,$23 - $28 Per Hour(Employer est.)
793,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,$78K - $139K (Glassdoor est.)
794,Microsoft,Explore: Intern Opportunities,"Redmond, WA",4.4,N/A
795,HP,Software Engineer Internship,"Spring, TX",4.2,$64K - $125K (Glassdoor est.)
796,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,$20 - $24 Per Hour(Employer est.)
797,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,$62K - $124K (Glassdoor est.)
798,Snapchat,2022 Software Engineer Intern,"Los Angeles, CA",4.1,$78K - $173K (Glassdoor est.)
799,Bose,Software Engineering Summer Intern,"Framingham, MA",4.0,$67K - $141K (Glassdoor est.)
800,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A
801,Etsy,"Software Engineering Intern, Summer 2022","Brooklyn, NY",4.5,$57K - $125K (Glassdoor est.)
802,NetApp,Intern - Software Engineer (BLDR),"Boulder, CO",4.1,$74K - $163K (Glassdoor est.)
803,"Alteryx, Inc.",Software Engineer Intern (Summer 2022),"Irvine, CA",3.6,$40 Per Hour(Employer est.)
804,MasterCard,Software Development Engineer Intern,"Arlington, VA",4.2,$68K - $135K (Glassdoor est.)
805,Garmin,Software Engineer Intern (Part-Time) - KSU Office,"Manhattan, KS",4.2,$32K - $70K (Glassdoor est.)
806,Duolingo,"Software Engineering, Thrive Intern","Pittsburgh, PA",4.7,$53K - $114K (Glassdoor est.)
807,Databricks,Software Engineering Intern,"San Francisco, CA",4.8,$79K - $182K (Glassdoor est.)
808,Salesforce,Summer 2022 Intern - Software Engineer,"Bellevue, WA",4.4,$38 Per Hour(Employer est.)
809,"Chick-fil-A, Inc.",2022 Software Engineering Summer Intern,"Atlanta, GA",3.9,$54K - $110K (Glassdoor est.)
